City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
90,lorengau,-2.0226,147.2712,27.260000000000048,87,98,7.01,PG,1685752736
91,avera,33.194,-82.5271,25.03000000000003,68,100,1.97,US,1685752737
92,igarka,67.4667,86.5833,9.640000000000043,56,96,9.59,RU,1685752738
93,hithadhoo,-0.6,73.0833,27.0,77,93,2.99,MV,1685752739
94,tuatapere,-46.1333,167.6833,10.060000000000002,76,72,2.47,NZ,1685752740
95,ushuaia,-54.8,-68.3,5.810000000000002,87,20,2.06,AR,1685752741
96,tasiilaq,65.6145,-37.6368,1.0900000000000318,99,100,0.38,GL,1685752742
97,mayo,38.8876,-76.5119,28.970000000000027,65,0,3.09,US,1685752743
98,severo-kurilsk,50.6789,156.125,4.330000000000041,95,100,7.82,RU,1685752744
99,gafanha da encarnacao,40.6181,-8.733,17.810000000000002,89,27,2.13,PT,1685752745
100,louisbourg,40.6181,-8.733,17.810000000000002,89,27,2.13,PT,1685752745
101,vardo,70.3705,31.1107,3.990000000000009,81,100,2.57,NO,1685752747
102,palabuhanratu,70.3705,31.1107,3.990000000000009,81,100,2.57,NO,1685752747
103,sarakhs,36.5449,61.1577,25.78000000000003,42,0,6.05,IR,1685752749
104,ambilobe,-13.2,49.05,18.720000000000027,85,2,1.51,MG,1685752750
105,kysyl-syr,63.8986,122.7617,19.939999999999998,34,28,3.34,RU,1685752751
106,bredasdorp,-34.5322,20.0403,13.689999999999998,72,100,4.49,ZA,1685752752
107,kavieng,-2.5744,150.7967,27.99000000000001,76,99,3.82,PG,1685752753
108,saint-philippe,-21.3585,55.7679,18.77000000000004,68,48,6.09,RE,1685752754
109,grindavik,63.8424,-22.4338,10.970000000000027,81,75,3.09,IS,1685752755
110,whitehorse,60.7161,-135.0538,17.670000000000016,29,75,5.14,CA,1685752554
111,salisbury,51.0693,-1.7957,10.82000000000005,81,6,4.63,GB,1685752556
112,mlowo,-9.0,32.9833,12.930000000000007,85,11,1.34,TZ,1685752758
113,saldanha,-33.0117,17.9442,13.03000000000003,89,100,13.92,ZA,1685752758
114,gorom-gorom,14.4439,-0.2361,33.910000000000025,24,67,7.02,BF,1685752759
115,vila velha,-20.3297,-40.2925,21.970000000000027,78,20,4.63,BR,1685752760
116,bonga,7.2833,36.2333,14.54000000000002,98,51,1.06,ET,1685752762
117,clyde river,70.4692,-68.5914,-0.8700000000000045,100,100,2.06,CA,1685752762
118,nikolskoye,59.7035,30.7861,1.9399999999999977,93,0,1.61,RU,1685752763
119,huanan,46.2167,130.5167,11.29000000000002,90,100,2.9,CN,1685752764
120,kununurra,-15.7667,128.7333,21.99000000000001,60,29,1.03,AU,1685752765
121,ocos,14.5094,-92.1933,31.100000000000023,74,1,3.3,GT,1685752766
122,ribeira grande,38.5167,-28.7,17.100000000000023,83,31,2.24,PT,1685752767
123,broome,42.2506,-75.833,25.430000000000007,73,40,6.17,US,1685752768
124,greenville,35.6127,-77.3663,25.090000000000032,83,0,2.06,US,1685752577
125,mariakani,-3.8633,39.4736,20.900000000000034,98,24,2.27,KE,1685752770
126,iqaluit,63.7506,-68.5145,0.8500000000000227,80,100,1.03,CA,1685752771
127,kharp,66.8014,65.8081,14.080000000000041,61,90,1.26,RU,1685752772
128,borogontsy,62.6683,131.1683,19.03000000000003,29,32,4.45,RU,1685752773
129,belushya guba,62.6683,131.1683,19.03000000000003,29,32,4.45,RU,1685752773
130,chokurdakh,70.6333,147.9167,9.710000000000036,51,100,2.77,RU,1685752775
131,lahat,-3.8,103.5333,26.420000000000016,79,100,0.39,ID,1685752776
132,fredericksburg,38.3032,-77.4605,27.120000000000005,68,0,0.0,US,1685752755
133,dingle,10.9995,122.6711,29.510000000000048,71,85,2.35,PH,1685752778
134,yellowknife,62.456,-114.3525,19.29000000000002,22,20,5.66,CA,1685752681
135,iranshahr,27.2025,60.6848,30.189999999999998,20,0,2.06,IR,1685752779
136,lakewood,39.7047,-105.0814,22.0,41,62,2.68,US,1685752517
137,plymouth,41.8334,-70.8328,21.08000000000004,75,99,4.97,US,1685752519
138,walvis bay,-22.9575,14.5053,14.53000000000003,77,24,1.03,NA,1685752782
139,trstena,49.361,19.6125,8.860000000000014,97,28,2.18,SK,1685752783
140,mar del plata,-38.0023,-57.5575,17.010000000000048,98,100,6.69,AR,1685752784
141,birjand,32.8663,59.2211,19.260000000000048,22,0,2.06,IR,1685752786
142,piracanjuba,-17.3028,-49.0167,17.340000000000032,58,0,1.89,BR,1685752786
143,peniche,39.3558,-9.3811,17.379999999999995,91,11,3.26,PT,1685752787
144,entre rios,-11.9419,-38.0844,20.879999999999995,99,43,1.72,BR,1685752788
145,bulgan,48.8125,103.5347,11.600000000000023,61,15,2.41,MN,1685752789
146,tiksi,71.6872,128.8694,5.310000000000002,79,100,1.41,RU,1685752790
147,kalabo,-14.97,22.6814,15.680000000000007,50,0,1.62,ZM,1685752791
148,lompoc,34.6391,-120.4579,22.05000000000001,74,75,7.6,US,1685752793
149,bambous virieux,-20.3428,57.7575,23.140000000000043,68,40,6.69,MU,1685752794
150,butaritari,3.0707,172.7902,29.04000000000002,74,47,5.76,KI,1685752794
151,safaga,26.7292,33.9365,29.670000000000016,51,0,1.45,EG,1685752795
152,anadyr,64.75,177.4833,11.28000000000003,50,0,3.0,RU,1685752796
